sex,length,diameter,height,wholeWeight,shuckedWeight,visceraWeight,shellWeight,rings,ageCategory
I,0.3850,0.2900,0.0950,0.3120,0.1430,0.0635,0.0860,6,5-10
I,0.3850,0.3000,0.1000,0.2895,0.1215,0.0630,0.0900,7,5-10
I,0.3950,0.2900,0.0950,0.3190,0.1380,0.0800,0.0820,7,5-10
I,0.3950,0.2900,0.0950,0.3040,0.1270,0.0840,0.0770,6,5-10
I,0.4000,0.3100,0.1000,0.3060,0.1300,0.0600,0.0940,6,5-10
I,0.4100,0.3250,0.1000,0.3940,0.2080,0.0655,0.1060,6,5-10
I,,0.3200,0.1100,0.3735,0.1750,0.0755,0.1090,7,5-10
M,,0.3050,0.1000,0.3250,0.1560,0.0505,0.0910,6,5-10
I,0.4250,0.3250,0.1000,0.3980,0.1185,0.0645,0.0945,6,5-10
I,0.4400,0.3650,0.1150,0.5010,,0.0840,0.1465,9,5-10
I,0.4450,0.3350,0.1000,0.4895,0.2745,0.0860,0.1105,7,5-10
I,0.4450,0.3250,0.1000,0.3780,0.1795,0.1000,0.0890,7,5-10
I,0.4500,0.3500,0.1300,0.5470,0.2450,0.1405,0.1405,8,5-10
M,0.4700,0.3750,0.1200,0.5805,0.2660,0.0935,0.1690,8,5-10
I,0.4750,0.3650,0.1250,0.5465,0.2290,0.1185,0.1720,9,5-10
F,0.4800,0.3650,0.1350,0.6395,0.2945,0.1130,0.1750,8,5-10
I,0.4850,0.3550,0.1050,0.4980,0.2175,0.0960,0.1525,9,5-10
M,0.4900,0.3850,0.1250,0.6090,0.3065,0.0960,0.1775,8,5-10
F,0.4950,0.4100,0.1250,0.7555,0.3355,0.1290,0.2140,9,5-10
M,,0.4000,0.1250,0.5975,0.2700,0.1275,0.1660,9,5-10
M,0.5050,0.4400,0.1400,0.8275,0.3415,0.1855,0.2390,8,5-10
M,0.5250,0.3950,0.1300,0.7635,0.3375,0.1425,0.2250,8,5-10
M,0.5400,0.4050,0.1250,0.8910,0.4815,0.1915,0.2020,9,5-10
F,0.5400,0.4200,0.1400,0.8050,0.3690,0.1725,0.2100,11,10-15
F,0.5450,0.4400,0.1350,0.9185,0.4290,0.2015,0.2375,10,5-10
F,0.5500,0.4300,0.1250,0.9230,0.4035,0.1750,0.2830,8,5-10
M,0.5500,0.4500,0.1500,1.0145,0.4070,0.2015,0.2875,10,5-10
F,0.5500,0.4500,0.1500,0.8750,0.3620,0.1755,0.2765,10,5-10
M,0.5550,0.4350,0.1450,0.9685,0.4985,0.1680,0.2385,9,5-10
M,0.5650,0.4500,0.1550,1.0595,0.4735,0.2400,0.2650,10,5-10
M,0.5700,0.4550,0.1500,0.9520,0.3895,0.2155,0.2745,9,5-10
M,0.5700,0.4350,0.1300,0.7535,0.3490,0.1755,0.1940,10,5-10
F,0.5750,0.4650,0.1400,0.9580,0.4420,0.1815,0.2705,9,5-10
M,0.5900,0.4750,0.1650,1.0770,0.4545,0.2440,0.3095,9,5-10
M,0.5900,0.4600,0.1300,1.1020,0.4550,0.2055,0.3300,12,10-15
F,0.5950,0.4800,0.1500,1.1100,0.4980,0.2280,0.3300,10,5-10
F,0.5950,0.4800,0.1600,1.2095,0.5225,0.2960,0.3200,8,5-10
F,0.5950,0.4750,0.1600,1.1405,0.5470,0.2310,0.2710,6,5-10
F,0.5950,0.4650,0.1400,1.1130,0.5175,0.2440,0.3050,12,10-15
M,0.6000,0.4750,0.1750,1.3445,0.5490,0.2875,0.3600,11,10-15
F,0.6000,0.4750,0.1550,1.2100,0.6530,0.1695,0.3205,10,5-10
M,0.6000,0.4950,0.1750,1.2900,0.6060,0.2760,0.3445,11,10-15
F,0.6050,0.4750,0.1750,1.3820,0.6090,0.2325,0.3985,10,5-10
M,0.6050,0.4550,0.1600,1.1035,0.4210,0.3015,0.3250,9,5-10
F,0.6150,,0.1750,1.3770,0.5585,0.3300,0.2920,12,10-15
F,0.6150,0.5200,0.1500,1.3435,0.6290,0.2605,0.3450,10,5-10
M,0.6150,0.5100,0.1500,1.2960,0.5450,0.3315,0.3200,9,5-10
M,0.6150,0.5050,0.1650,1.3400,0.5315,0.2815,0.4100,12,10-15
F,0.6200,0.5050,0.1600,1.3725,0.6285,0.2750,0.3685,11,10-15
M,0.6200,,0.1650,1.3070,0.6355,0.2545,0.3150,9,5-10
F,0.6250,0.4900,0.1550,1.2085,0.4650,0.1620,0.4110,11,10-15
F,0.6250,0.4900,0.2000,1.3825,0.5895,0.2850,0.3810,11,10-15
M,0.6300,0.5050,0.1650,1.2600,0.4525,0.2755,0.4060,14,10-15
M,0.6350,0.5100,0.1700,1.3555,0.6190,0.3050,0.3900,9,5-10
F,0.6350,,0.1500,1.3760,0.6495,0.3610,0.3100,10,5-10
F,0.6350,0.4850,0.1650,1.2945,0.6680,0.2605,0.2715,9,5-10
F,0.6400,0.5100,0.1650,1.4860,0.7595,0.3320,0.3210,8,5-10
M,0.6500,0.5250,0.1750,1.4715,0.6750,0.3150,0.3990,11,10-15
M,0.6550,0.5200,0.1650,1.4095,0.5860,0.2910,0.4050,9,5-10
M,0.6550,0.5800,0.2050,2.0805,0.9590,0.3415,0.6010,17,15-20
M,0.6600,0.5300,0.1700,1.3905,0.5905,0.2120,0.4530,15,10-15
M,0.6600,0.5200,0.1900,1.5580,0.7550,0.2980,0.4000,10,5-10
F,0.6700,0.5850,0.1600,1.3090,0.5445,0.2945,0.4130,10,5-10
F,0.6750,0.5250,0.1700,1.8095,0.7840,0.3910,0.4550,12,10-15
F,0.6750,0.5250,0.1550,1.4785,0.6280,0.3405,0.4200,9,5-10
F,0.6800,0.5600,0.1950,1.7775,0.8610,0.3220,,11,10-15
F,0.6850,0.5400,0.1600,1.6675,0.8330,0.3775,0.4750,11,10-15
F,0.6950,0.5600,0.2200,1.8340,0.8455,0.4220,0.4550,11,10-15
M,0.7300,0.5950,0.2300,2.8255,1.1465,0.4190,0.8970,17,15-20
I,0.2050,0.1400,0.0500,0.0460,0.0165,0.0120,0.0135,6,5-10
I,0.2400,0.1750,0.0550,0.0705,0.0250,0.0140,0.0210,5,<5
I,0.2400,0.1750,0.0650,0.0665,0.0310,0.0135,0.0170,3,<5
I,0.2550,0.1900,0.0500,0.0830,0.0295,0.0215,0.0270,6,5-10
I,0.2550,0.1800,0.0550,0.0830,0.0310,0.0215,0.0200,4,<5
I,0.2650,0.1950,0.0600,0.0920,0.0345,0.0250,0.0245,6,5-10
I,0.2800,0.1200,0.0750,0.1170,0.0455,0.0290,0.0345,4,<5
I,0.2950,0.2300,0.0800,0.1625,0.0650,0.0500,0.0385,5,<5
I,0.3000,0.2350,0.0800,0.1310,0.0500,0.0265,0.0430,4,<5
I,0.3000,0.2300,0.0950,0.1385,0.0560,0.0365,0.0370,6,5-10
I,0.3050,0.2200,0.0700,0.1410,0.0620,0.0310,0.0370,5,<5
I,0.3150,0.2350,0.0750,0.1485,0.0585,0.0375,0.0425,6,5-10
I,0.3150,0.2300,0.0700,0.1440,0.0530,0.0305,0.0400,8,5-10
I,0.3200,0.2400,0.0900,0.1575,0.0700,0.0265,0.0425,5,<5
I,0.3250,0.2400,0.0750,0.1870,0.0825,0.0445,0.0500,6,5-10
I,0.3300,0.2650,0.0850,0.1960,0.0775,0.0305,0.0445,6,5-10
I,0.3350,0.2500,0.0750,0.1825,0.0705,0.0440,0.0550,7,5-10
I,0.3350,0.2500,0.0750,0.1860,0.0945,0.0380,0.0445,7,5-10
I,0.3400,0.2500,0.0750,0.1785,0.0665,0.0455,0.0450,5,<5
I,0.3400,0.2500,0.0700,0.2225,0.1040,0.0425,0.0550,7,5-10
I,0.3450,0.2650,0.1000,0.2455,0.1110,0.0535,0.0650,7,5-10
I,0.3700,0.2900,0.0950,0.2490,0.1045,0.0580,0.0670,6,5-10
I,0.3700,0.2800,0.0950,0.2865,0.1505,0.0690,0.0795,7,5-10
I,0.3750,0.2800,0.0900,0.2150,0.0840,0.0600,0.0550,6,5-10
I,0.3850,0.2650,0.0800,0.2510,0.1240,0.0370,0.0700,6,5-10
I,0.4100,0.3100,0.0900,0.3390,0.1550,0.0695,0.0900,7,5-10
I,0.4100,0.3050,0.0900,0.3535,0.1570,0.0745,0.1000,7,5-10
I,0.4100,0.3100,0.0900,0.3335,0.1635,0.0610,0.0910,6,5-10
I,,0.3300,0.0900,0.3595,0.1700,0.0810,0.0900,6,5-10
I,0.4200,0.3200,0.1150,0.3760,0.1690,0.0920,0.1000,5,<5
I,0.4200,0.3150,0.1000,0.3435,0.1570,0.0795,0.0900,6,5-10
I,0.4250,0.3400,0.1000,0.3820,0.1640,0.0960,0.1000,6,5-10
I,0.4250,0.3150,0.1000,0.3770,0.1645,0.0720,0.1050,6,5-10
I,0.4300,0.3250,0.1000,0.3645,0.1575,0.0825,0.1050,7,5-10
I,0.4300,0.3250,0.0900,0.4250,0.2170,0.0870,0.0950,7,5-10
I,0.4350,0.3250,0.1200,0.3995,0.1815,0.0610,0.1125,8,5-10
I,0.4350,0.3400,0.1150,0.3925,0.1825,0.0780,0.1145,6,5-10
I,0.4400,0.3450,0.1300,0.4495,0.2090,0.0835,0.1340,6,5-10
I,0.4400,0.3250,0.0900,0.3500,0.1480,0.0670,0.1050,7,5-10
F,0.4450,0.3350,0.1100,0.4355,0.2025,0.1095,0.1195,6,5-10
I,0.4450,0.3500,0.1300,0.4195,0.1695,0.0945,0.1195,7,5-10
I,0.4500,0.3600,0.1300,0.4780,0.1910,0.1270,0.1370,7,5-10
I,0.4500,0.3550,0.1050,0.4445,0.1970,0.0930,0.1335,8,5-10
I,0.4500,0.3450,0.1100,0.4700,0.2355,0.0855,0.1135,7,5-10
I,0.4500,0.3350,0.1050,0.4470,0.2335,0.1530,0.1190,7,5-10
I,0.4550,0.3550,0.1250,0.5325,0.2250,0.1260,0.1465,7,5-10
I,0.4550,0.3750,0.1200,0.4970,0.2355,0.1055,0.1295,6,5-10
I,0.4600,0.3600,0.1000,0.4635,0.2325,0.0930,0.1150,7,5-10
I,0.4600,0.3450,0.1050,0.4490,0.1960,0.0945,0.1265,7,5-10
I,0.4650,0.3650,0.1150,0.4670,0.2315,0.0925,0.1130,7,5-10
I,0.4650,0.3700,0.1150,0.5340,0.2610,0.0980,0.1430,7,5-10
I,0.4650,0.3450,0.1100,0.4415,0.1755,0.0905,0.1200,7,5-10
F,0.4650,0.3500,0.1250,0.4820,0.2300,0.1060,0.1095,6,5-10
M,0.4700,0.3650,0.1200,0.6120,0.3270,0.1500,0.1400,8,5-10
F,0.4700,0.3650,0.1200,0.5820,0.2900,0.0920,0.1460,8,5-10
M,0.4750,0.3700,0.1250,0.5370,0.2220,0.1215,0.1500,9,5-10
F,0.4750,0.3600,0.1200,0.5915,0.3245,0.1100,0.1270,6,5-10
M,0.4800,0.3750,0.1150,0.6765,0.3205,0.1065,0.1700,6,5-10
M,0.4800,0.3850,0.1450,0.6400,0.2925,0.1405,0.1575,6,5-10
M,0.4800,0.3600,0.1000,0.4390,0.1940,0.0990,0.1150,8,5-10
M,0.4800,0.3650,0.1200,0.6015,0.3120,0.1170,0.1400,7,5-10
F,0.4850,0.3700,0.1150,0.4785,0.1995,0.0955,0.1290,7,5-10
M,0.4900,0.3850,0.1250,0.6490,0.3200,0.1240,0.1695,8,5-10
M,0.4950,0.3950,0.1350,0.6335,0.3035,0.1295,0.1495,8,5-10
M,0.4950,0.4000,0.1350,0.6100,0.2720,0.1435,0.1440,7,5-10
M,,0.3900,0.1350,0.6595,0.3145,0.1535,0.1565,6,5-10
I,,0.3850,0.1200,0.5600,0.2835,0.1030,0.1350,8,5-10
M,,0.3850,0.1350,0.6425,0.3195,0.1290,0.1535,7,5-10
M,,0.4000,0.1250,0.6725,0.3360,0.1200,0.1825,7,5-10
F,0.5050,0.3900,0.1300,0.6740,0.3165,0.1410,0.1785,9,5-10
I,0.5050,0.3900,0.1500,0.6850,0.3620,0.1310,0.1560,8,5-10
M,0.5050,0.4100,0.1250,0.6420,0.2890,0.1330,0.1550,9,5-10
I,0.5050,0.3550,0.1250,0.6010,0.2500,0.1205,0.1850,8,5-10
M,0.5100,0.3900,0.1350,0.7690,0.3935,0.1455,0.1900,8,5-10
I,0.5100,0.3750,0.1000,0.5785,0.2380,0.1225,0.1750,7,5-10
I,0.5100,0.4050,0.1350,0.7690,0.3655,0.1585,0.1800,7,5-10
M,0.5100,0.4050,0.1500,0.7035,0.3470,0.1340,0.1885,8,5-10
M,0.5100,0.4100,0.1450,0.7960,0.3865,0.1815,0.1955,8,5-10
F,0.5150,0.4300,0.1400,0.8340,0.3670,0.2000,0.2300,8,5-10
M,0.5150,0.3900,0.1550,0.7125,0.3695,0.1370,0.1550,7,5-10
F,0.5250,,0.1400,0.7240,0.3475,0.1730,0.1750,8,5-10
M,0.5250,0.4000,0.1400,0.7325,0.3340,0.1575,0.1700,11,10-15
F,0.5300,0.4250,0.1300,0.7585,0.3250,0.1970,0.2050,8,5-10
F,0.5300,0.4250,0.1500,0.8495,0.3280,0.2320,0.2020,8,5-10
M,0.5300,0.4050,0.1250,0.6515,0.2715,0.1605,0.1860,7,5-10
F,0.5350,0.4000,0.1350,0.8215,0.3935,0.1960,0.2050,8,5-10
M,0.5350,0.4300,0.1400,0.7165,0.2855,0.1595,0.2155,8,5-10
M,0.5350,0.4350,0.1400,0.8740,0.3735,0.2290,0.2195,8,5-10
F,0.5500,0.4450,0.1550,0.9905,0.5440,0.1780,0.2180,9,5-10
F,0.5500,0.4300,0.1400,0.8105,0.3680,0.1610,0.2750,9,5-10
F,0.5600,0.4550,0.1600,0.9670,0.4525,0.2070,0.2740,9,5-10
F,0.5650,0.4000,0.1300,0.6975,0.3075,0.1665,0.1800,8,5-10
M,0.5700,0.4500,0.1550,1.1950,0.5625,0.2565,0.2950,10,5-10
M,0.5700,0.4500,0.1550,1.1935,0.5130,0.2100,0.3430,10,5-10
F,0.5700,0.4550,0.1500,1.1070,0.5400,0.2550,0.2700,8,5-10
M,0.5700,0.4450,0.1400,1.0635,0.5265,0.2195,0.2400,8,5-10
M,0.5700,0.4600,0.1700,0.9035,0.4075,0.1935,0.2140,7,5-10
M,0.5750,0.4750,0.1600,1.1140,0.4955,0.2745,0.2900,9,5-10
F,0.5750,0.4600,0.1600,1.1030,0.5380,0.2210,0.2490,9,5-10
F,0.5800,0.4600,0.1500,1.1155,0.5575,0.2255,0.2900,7,5-10
F,0.5800,0.4600,0.1800,1.0515,0.4095,0.2595,0.2760,8,5-10
M,0.5800,0.4550,0.1500,1.0120,0.4985,0.2115,0.2835,10,5-10
F,0.5800,0.4500,0.1450,1.1370,0.5585,0.2200,0.2900,8,5-10
M,0.5800,0.4900,0.1300,1.1335,0.5860,0.2565,0.2370,9,5-10
M,0.5900,0.4650,0.1550,1.1360,0.5245,0.2615,0.2750,11,10-15
M,0.5900,0.4700,0.1600,1.2060,0.4790,0.2425,0.3090,8,5-10
F,0.5900,0.4550,0.1450,1.0630,0.5155,0.2445,0.2500,8,5-10
F,0.5950,0.4700,0.1550,1.1210,0.4515,0.1780,0.1550,11,10-15
F,0.5950,0.4500,0.1500,1.1140,0.5865,0.2205,0.2500,11,10-15
M,0.5950,0.4750,0.1650,1.2130,0.6210,,0.2740,9,5-10
F,0.5950,0.4600,0.1400,1.0045,0.4655,0.2095,0.2515,9,5-10
M,0.5950,0.4550,0.1500,1.0440,0.5180,0.2205,0.2700,9,5-10
F,0.6050,0.4900,0.1500,1.1345,0.5265,0.2645,0.2950,9,5-10
M,0.6050,0.4750,0.1550,1.1610,0.5720,0.2455,0.2750,9,5-10
M,0.6050,0.4700,0.1650,1.2315,0.6025,0.2620,0.2925,11,10-15
M,0.6100,0.4700,0.1500,1.1625,0.5650,0.2580,0.3085,11,10-15
M,0.6100,0.4750,0.1550,1.1680,0.5540,0.2390,0.3295,10,5-10
F,0.6150,0.4800,0.1600,1.2525,0.5850,0.2595,0.3300,8,5-10
F,0.6200,0.5100,0.1800,1.3315,0.5940,0.2760,0.3880,11,10-15
F,0.6250,0.4800,0.1700,1.3525,0.6235,0.2780,0.3650,10,5-10
M,0.6250,0.4900,0.1750,1.3325,0.5705,0.2710,0.4050,10,5-10
F,0.6250,0.4750,0.1750,1.1435,0.4755,0.2475,0.3490,10,5-10
F,0.6250,,0.1650,1.2880,0.5730,0.3035,0.3150,9,5-10
F,0.6250,0.4850,0.2000,1.3800,0.5845,0.3020,0.4010,9,5-10
M,0.6300,0.4850,0.1550,1.2780,0.6370,0.2750,0.3100,8,5-10
F,0.6300,0.4950,0.1650,1.3075,0.5990,0.2840,0.3150,11,10-15
M,0.6300,0.4800,0.1500,1.1785,0.5185,0.2480,0.3235,8,5-10
M,0.6350,0.4900,0.1750,1.3750,0.6230,0.2705,0.3950,11,10-15
M,0.6350,0.5250,0.1850,1.4065,0.6840,0.3000,0.3745,10,5-10
M,0.6400,0.5050,0.1550,1.4025,0.7050,0.2655,0.3350,10,5-10
F,0.6400,,0.1700,1.5175,0.6930,0.3260,0.4090,11,10-15
F,0.6400,,0.1750,1.3940,0.4935,0.2910,0.4000,10,5-10
F,0.6450,,0.1550,1.2205,0.6145,0.2360,0.3185,10,5-10
M,0.6450,0.5200,0.1750,1.6360,0.7790,0.3420,0.4320,11,10-15
M,0.6450,0.5200,0.1750,1.5610,0.7090,0.3555,0.4000,8,5-10
F,0.6450,0.5050,0.1650,1.4325,0.6840,0.3080,0.3360,8,5-10
M,0.6450,,0.1750,1.3385,0.6330,0.2990,0.3490,11,10-15
F,0.6450,,0.1600,1.2465,0.5475,0.3270,0.3000,10,5-10
F,0.6450,0.5150,0.1500,1.2120,0.5150,0.2055,0.3850,10,5-10
M,0.6500,0.4950,0.1600,1.3040,0.5700,0.3120,0.3725,9,5-10
M,0.6500,0.5200,0.2100,1.6785,0.6665,0.3080,0.4600,11,10-15
M,0.6500,0.5250,0.1850,1.6220,0.6645,0.3225,0.4770,10,5-10
F,0.6550,0.4600,0.1600,1.4940,0.6895,0.3310,0.1825,9,5-10
F,0.6550,0.5100,0.1750,1.6525,0.8515,0.3365,0.4030,10,5-10
F,0.6600,0.5050,0.1850,1.5280,0.6900,0.3025,0.4410,11,10-15
M,0.6600,0.5350,0.1900,1.5905,0.6425,0.2970,0.5175,9,5-10
M,0.6600,0.4950,0.1950,1.6275,0.5940,0.3595,0.4850,10,5-10
F,0.6600,0.4750,0.1800,1.3695,0.6410,0.2940,0.3350,6,5-10
M,0.6700,0.5250,0.1650,1.6085,0.6820,0.3145,0.4005,11,10-15
F,0.6750,0.5700,0.2250,1.5870,0.7390,0.2995,0.4350,10,5-10
F,0.6750,0.5650,0.1950,1.8375,0.7645,0.3615,0.5530,12,10-15
M,0.6800,0.5350,0.1850,1.6070,0.7245,0.3215,0.4980,12,10-15
M,0.6900,0.5250,0.1750,1.7005,0.8255,0.3620,0.4050,8,5-10
M,0.6900,0.5050,0.2000,1.8720,0.8930,0.4015,0.4800,10,5-10
F,0.6950,0.5350,0.1750,1.8385,0.8035,0.3960,0.5030,10,5-10
F,0.7050,0.5350,0.1800,1.6850,0.6930,0.4200,0.4045,12,10-15
M,0.7100,0.5650,0.2050,2.1980,1.0120,0.5225,0.5475,11,10-15
M,0.7150,0.5650,0.1750,1.9525,0.7645,0.4185,0.4135,10,5-10
F,0.7150,0.5250,0.1850,1.5600,0.6655,0.3830,0.4050,11,10-15
F,0.7350,0.6000,0.2200,2.5550,1.1335,0.4400,0.6000,11,10-15
M,0.7650,0.6000,0.2200,2.3020,1.0070,0.5090,0.6205,12,10-15
I,0.1850,0.1300,0.0450,0.0290,0.0120,0.0075,0.0095,4,<5
I,0.1950,0.1500,0.0450,0.0375,0.0180,0.0060,0.0110,3,<5
I,0.1950,0.1350,0.0400,0.0325,0.0135,0.0050,0.0095,4,<5
I,0.2000,0.1550,0.0400,0.0435,0.0155,0.0090,0.0070,4,<5
I,0.2250,0.1650,0.0550,0.0590,0.0270,0.0125,0.0150,4,<5
I,0.2450,0.1800,0.0650,0.0710,0.0300,0.0130,0.0215,4,<5
I,0.2500,0.1800,0.0650,0.0685,0.0245,0.0155,0.0225,5,<5
I,0.2650,0.1950,0.0550,0.0840,0.0365,0.0175,0.0250,7,5-10
I,0.2750,0.1950,0.0650,0.1060,0.0540,0.0200,0.0280,6,5-10
I,0.2800,0.2100,0.0850,0.1075,0.0415,0.0240,0.0340,5,<5
I,0.2850,0.2200,0.0650,0.0960,0.0405,0.0205,0.0300,5,<5
I,0.3000,0.2200,0.0800,0.1255,0.0550,0.0265,0.0390,6,5-10
I,0.3150,0.2350,0.0550,0.1510,0.0650,0.0270,0.0390,6,5-10
I,0.3200,0.2250,0.0850,0.1415,0.0675,0.0295,0.0405,6,5-10
I,0.3400,0.2650,0.0800,0.2015,0.0900,0.0475,0.0550,5,<5
I,0.3700,0.2800,0.1000,0.2210,0.1165,0.0265,0.0635,6,5-10
I,0.3750,0.2800,0.0800,0.2345,0.1125,0.0455,0.0670,6,5-10
I,0.3750,0.2750,0.1000,0.2325,0.1165,0.0420,0.0650,6,5-10
I,0.3850,0.2900,0.0800,0.2485,0.1220,0.0495,0.0650,7,5-10
I,0.4000,0.3200,0.0950,0.3480,0.1940,0.0530,0.0870,6,5-10
I,0.4050,0.3000,0.1100,0.3200,0.1720,0.0440,0.0930,7,5-10
I,0.4100,0.3000,0.1000,0.2820,0.1255,0.0570,0.0875,7,5-10
I,0.4100,0.3250,0.1000,0.3245,0.1320,0.0720,0.1060,6,5-10
I,0.4200,0.3000,0.1050,0.3160,0.1255,0.0700,0.1035,7,5-10
I,0.4200,0.3200,0.1100,0.3625,0.1740,0.0635,0.1050,7,5-10
I,0.4200,0.3100,0.0950,0.2790,0.1255,0.0510,0.0880,6,5-10
I,0.4250,0.3250,0.1150,0.3685,0.1620,0.0865,0.1045,7,5-10
M,0.4300,0.3350,0.1200,0.3970,0.1985,0.0865,0.1035,7,5-10
I,0.4350,0.3300,0.1100,0.4130,0.2055,0.0960,0.0960,6,5-10
I,0.4350,0.3450,0.1150,0.4180,0.2220,0.0735,0.1060,7,5-10
I,0.4400,0.3300,0.1100,0.3705,0.1545,0.0840,0.1200,7,5-10
I,0.4450,0.3450,0.1050,0.4090,0.1675,0.1015,0.1170,7,5-10
I,0.4450,0.3400,0.1450,0.4340,0.1945,0.0905,0.1300,7,5-10
I,0.4450,0.3350,0.1100,0.4110,0.1985,0.0935,0.1090,8,5-10
I,0.4500,0.3650,0.1250,0.4620,0.2135,0.0985,0.1315,8,5-10
I,0.4500,0.3400,0.1200,0.4925,0.2410,0.1075,0.1200,6,5-10
I,0.4500,0.3300,0.1050,0.3715,0.1865,0.0785,0.0975,7,5-10
I,0.4500,0.3300,0.1000,0.4110,0.1945,0.1000,0.0980,6,5-10
I,0.4500,0.3300,0.1100,0.3685,0.1600,0.0885,0.1020,6,5-10
I,0.4600,0.3500,0.1150,0.4155,0.1800,0.0980,0.1175,7,5-10
M,0.4700,0.3600,0.1050,0.5440,0.2700,0.1395,0.1290,7,5-10
I,0.4700,0.3800,0.1250,0.4845,0.2110,0.1075,0.1420,6,5-10
I,0.4750,0.3500,0.1100,0.4565,0.2060,0.0990,0.1300,6,5-10
I,0.4750,0.3500,0.1000,0.4545,0.2165,0.1110,0.1150,7,5-10
I,0.4800,0.3800,0.1250,0.6245,0.3395,0.1085,0.1665,8,5-10
M,0.4900,0.4650,0.1250,0.5225,0.2350,0.1300,0.1410,7,5-10
I,,0.3750,0.1400,0.5495,0.2480,0.1120,0.1585,7,5-10
I,,0.3750,0.1200,0.5420,0.2150,0.1160,0.1700,9,5-10
I,,0.3800,0.1250,0.5190,0.2485,0.1135,0.1340,8,5-10
M,,0.3900,0.1250,0.5215,0.2485,0.1170,0.1310,6,5-10
F,0.5050,0.3900,0.1250,0.5445,0.2460,0.1500,0.1405,7,5-10
I,0.5100,0.4050,0.1250,0.6795,0.3465,0.1395,0.1820,8,5-10
F,0.5100,0.4000,0.1250,0.5450,0.2610,0.1150,0.1385,6,5-10
I,0.5100,0.4000,0.1250,0.5575,0.2615,0.1195,0.1525,9,5-10
I,0.5100,0.3800,0.1150,0.5155,0.2150,0.1135,0.1660,8,5-10
I,0.5150,0.3850,0.1250,0.6115,0.3175,0.1265,0.1500,8,5-10
M,0.5200,0.4000,0.1450,0.7765,0.3525,0.1845,0.1850,9,5-10
I,0.5200,0.3800,0.1350,0.5395,0.2295,0.1330,0.1570,8,5-10
I,0.5200,0.3800,0.1250,0.5545,0.2880,0.1295,0.1670,8,5-10
F,0.5200,0.4600,0.1500,1.0190,0.5230,0.1985,0.2540,7,5-10
I,0.5250,0.4000,0.1300,0.6455,0.3250,0.1245,0.1700,8,5-10
I,0.5250,0.4000,0.1400,0.6010,0.2625,0.1285,0.1835,9,5-10
M,0.5250,0.4050,0.1200,0.7555,0.3755,0.1555,0.2010,9,5-10
I,0.5250,0.3950,0.1200,0.6080,0.2970,0.1395,0.1405,8,5-10
I,0.5300,0.4000,0.1250,0.6170,0.2790,0.1270,0.1900,8,5-10
I,0.5350,0.3900,0.1250,0.5990,0.2595,0.1490,0.1690,9,5-10
I,0.5400,0.4200,0.1400,0.6665,0.3125,0.1380,0.1895,10,5-10
M,0.5450,0.3900,0.1350,0.7835,0.4225,0.1815,0.1560,7,5-10
M,0.5450,0.4100,0.1200,0.7930,0.4340,0.1405,0.1900,9,5-10
M,0.5450,,0.1400,0.8200,0.4615,0.1270,0.2180,9,5-10
F,0.5500,,0.1350,0.8145,0.4270,0.1855,0.1750,8,5-10
F,0.5500,0.4300,0.1500,0.8400,0.3950,0.1950,0.2230,8,5-10
M,0.5500,0.4250,0.1500,0.8315,0.4110,0.1765,0.2165,10,5-10
M,0.5600,0.4300,0.1450,0.8995,0.4640,0.1775,0.2340,9,5-10
M,0.5600,0.4450,0.1600,0.8965,0.4200,0.2175,0.2215,8,5-10
F,0.5600,0.4400,0.1550,0.6405,0.3360,0.1765,0.2450,8,5-10
M,0.5600,,0.1450,0.8520,0.4300,0.1885,0.2050,8,5-10
M,0.5650,0.4550,0.1500,0.9595,0.4565,0.2395,0.2300,9,5-10
M,0.5650,0.4350,0.1500,0.9900,0.5795,0.1825,0.2060,8,5-10
F,0.5650,0.4500,0.1750,1.0095,0.4470,0.2375,0.2645,9,5-10
M,0.5700,0.4600,0.1500,1.0375,0.5415,0.2035,0.2500,9,5-10
F,0.5700,0.4450,0.1450,0.8775,0.4120,0.2170,0.2200,8,5-10
I,0.5700,0.4400,0.1500,0.7550,0.3425,0.1600,0.2240,8,5-10
F,0.5750,0.4600,0.1450,0.9945,0.4660,0.2290,0.2650,7,5-10
F,0.5750,0.4500,0.1600,1.0680,0.5560,0.2140,0.2575,10,5-10
M,0.5750,0.4350,0.1400,0.8455,0.4010,0.1910,0.2220,9,5-10
F,0.5750,0.4700,0.1650,0.8690,0.4350,0.1970,0.2380,9,5-10
M,0.5750,0.4550,0.1350,0.9070,0.4245,0.1970,0.2600,9,5-10
I,0.5750,0.4350,0.1300,0.8050,0.3155,0.2155,0.2450,10,5-10
M,0.5750,0.4450,0.1700,1.0225,0.5490,0.2175,0.2280,9,5-10
M,0.5750,0.4450,0.1450,0.8470,,0.1945,0.2200,9,5-10
M,0.5800,0.4550,0.1500,1.1140,0.4765,0.2155,0.2650,8,5-10
M,0.5800,0.4550,0.1950,1.8590,0.9450,0.4260,0.4410,9,5-10
M,0.5800,0.4450,0.1350,0.8140,0.3775,0.1915,0.2200,9,5-10
M,0.5800,0.4500,0.1400,0.9615,0.4860,0.1815,0.2530,9,5-10
M,0.5800,0.4500,0.1450,1.0025,0.5470,0.1975,0.2295,8,5-10
F,0.5800,0.4500,0.1550,0.9300,0.3850,0.2460,0.2650,9,5-10
