,intercolumnarDistance,upperMargin,lowerMargin,exploitation,rowNumber,modularRatio,interlinearSpacing,weight,peakNumber,modularRatioInterlinearSpacing,class
2080,0.081,0.062,0.204,0.577,0.262,0.356,0.786,0.669,0.563,0.005,H
2081,0.291,0.156,0.136,1.401,0.083,-0.308,-0.082,0.996,0.282,-0.108,A
2082,-0.228,0.290,0.132,-0.235,0.262,-0.599,0.296,0.410,0.875,-0.577,E
2083,-0.265,-0.448,0.431,-1.121,0.262,-0.308,0.484,-0.540,-0.279,-0.408,F
2084,-0.413,-0.346,0.602,2.211,0.440,0.606,-1.592,1.027,2.091,1.858,X
2085,,-0.511,0.463,0.711,0.262,-0.350,0.296,0.686,0.781,-0.380,E
2086,0.229,-1.045,0.349,0.842,0.262,1.270,0.296,0.207,0.438,1.094,A
2087,-0.203,0.368,0.389,0.916,0.172,-0.474,0.069,0.424,0.220,-0.361,D
2088,0.513,-0.417,0.125,0.550,0.977,-1.388,-1.139,0.883,1.779,-0.557,I
2089,0.241,-0.158,0.339,-1.204,0.262,-0.474,-0.044,-0.178,-1.246,-0.302,A
2090,0.377,0.180,0.065,-1.534,0.262,-0.640,0.258,0.244,-0.622,-0.598,A
2091,0.266,0.415,0.090,-0.685,0.262,-0.848,0.296,-0.229,0.438,-0.801,G
2092,-0.252,-0.401,0.467,0.631,0.262,0.481,-0.120,-0.032,0.625,0.632,E
2093,-0.178,0.015,0.264,0.582,0.172,1.561,0.409,-0.209,-0.248,1.307,A
2094,0.069,0.298,0.022,-0.223,0.262,-1.138,-0.006,0.175,-0.092,-0.914,G
2095,0.155,-0.323,0.175,0.127,0.172,1.187,0.258,-0.213,0.064,1.029,A
2096,0.365,-0.001,-0.052,1.293,0.977,-0.474,0.598,1.278,1.686,-0.619,I
2097,-0.351,-0.244,0.595,1.593,0.798,-1.969,-1.252,-2.304,-1.464,-1.080,X
2098,0.118,-0.221,-3.211,-1.623,0.262,0.024,0.409,-1.360,-0.840,-0.087,A
2099,-0.030,-0.189,0.243,-0.409,0.262,0.232,-0.233,-0.665,0.158,0.479,F
2100,-0.018,-0.150,-2.976,-1.078,0.083,-1.014,0.371,-0.895,-0.965,-0.983,F
2101,0.155,0.054,0.164,-0.048,0.262,-0.142,-0.346,-0.665,-0.747,0.195,A
2102,-0.030,0.015,0.264,0.374,0.262,0.979,0.069,0.408,0.095,0.970,A
2103,-0.462,0.353,0.150,0.560,0.262,-0.433,0.333,1.182,0.438,-0.452,E
2104,-0.154,-0.032,0.271,0.057,0.262,0.107,0.069,0.028,0.033,0.197,A
2105,-0.154,-0.354,0.371,-0.513,0.262,-1.097,-0.120,-1.766,-1.308,-0.830,F
2106,-0.215,0.101,0.236,-0.281,0.262,0.149,0.069,0.033,0.376,0.220,E
2107,-0.215,0.250,0.474,1.187,0.172,1.561,-0.006,0.005,1.498,1.597,X
2108,-0.215,0.282,0.108,0.739,0.083,0.439,0.333,-0.099,0.314,0.319,E
2109,0.352,0.321,0.129,-1.647,-0.900,-0.557,-0.006,-0.223,-0.061,-0.380,F
2110,0.846,0.015,-0.052,0.988,0.262,0.273,0.635,0.650,0.220,0.022,A
2111,0.575,-0.134,0.161,1.252,0.977,-0.599,-1.177,1.344,1.280,0.258,I
2112,0.167,0.313,0.168,-0.383,0.262,-1.097,-2.498,-3.274,-3.335,-2.558,A
2113,-3.499,13.896,-3.211,-0.378,-4.922,-2.094,-8.840,3.319,-3.865,-5.543,D
2114,0.180,0.321,0.243,0.046,0.172,0.439,,-0.216,0.064,0.416,A
2115,0.599,-2.427,0.012,0.540,0.977,-0.682,-1.214,0.670,1.810,0.212,I
2116,-0.154,-0.354,0.371,-0.513,0.262,-0.931,0.220,-0.170,-0.435,-0.834,F
2117,0.118,-0.221,-3.211,-1.623,0.262,0.356,0.220,-0.538,-0.528,0.327,A
2118,-0.178,-0.621,0.321,0.699,0.262,1.810,0.371,-0.566,-0.154,1.526,E
2119,-0.043,-0.173,0.645,0.089,-0.990,1.893,-0.006,-1.156,0.189,1.955,Y
2120,0.069,-0.652,0.396,1.221,0.262,0.232,0.031,1.046,0.781,0.316,A
2121,0.130,0.871,-3.211,0.062,0.262,0.398,0.258,0.934,0.189,0.340,A
2122,0.241,-0.111,0.325,-0.772,0.262,0.066,,-0.853,-0.404,-0.375,F
2123,-0.339,-0.315,0.449,1.243,0.798,0.315,-1.252,1.148,2.060,1.297,X
2124,-0.104,0.235,0.214,0.314,0.172,0.232,-0.422,0.960,0.844,0.948,H
2125,0.130,-0.158,0.577,-0.671,0.172,-0.557,-0.006,-0.736,0.189,-0.383,C
2126,0.229,0.125,0.182,0.686,0.262,-0.350,,-0.935,-1.651,-0.302,A
2127,0.846,-0.095,0.182,-1.981,0.619,-2.841,-1.177,-1.356,0.469,-2.025,I
2128,-0.117,-0.213,-0.028,-0.928,0.351,1.644,0.673,-2.039,-1.058,1.187,E
2129,0.056,0.125,0.136,0.150,0.172,-0.350,-0.044,0.445,0.657,-0.174,A
2130,3.266,-0.252,0.125,-2.124,0.977,-1.346,-1.063,0.891,0.750,-0.565,I
2131,-0.339,-0.228,0.584,2.124,0.262,0.232,-0.912,1.971,2.153,0.919,X
2132,-0.215,0.282,0.108,0.739,0.083,0.938,-2.611,-0.059,0.750,-1.227,E
2133,0.118,-0.291,0.307,0.256,0.172,0.149,,-0.060,-0.154,0.154,A
2134,0.167,0.690,-0.084,-0.009,0.262,-0.017,0.220,-0.134,-0.217,-0.019,F
2135,-0.043,-0.299,0.182,1.151,0.262,1.104,0.371,0.584,-0.029,0.910,A
2136,0.624,-0.189,0.140,0.387,0.977,-1.844,-1.063,1.041,1.779,-1.064,I
2137,0.019,0.078,0.349,-0.357,0.262,-0.889,-2.762,-0.441,-0.466,-2.248,H
2138,0.266,-0.134,0.214,-0.229,0.262,-0.848,0.258,0.326,0.251,-0.764,F
2139,0.599,-0.378,0.243,-0.151,0.977,-0.142,-1.252,0.951,1.561,0.783,I
2140,-0.129,-0.283,0.488,0.834,0.798,0.190,-1.403,0.076,0.781,1.277,Y
2141,-3.499,-0.401,0.353,0.787,-4.922,-0.183,0.031,0.468,-0.404,-0.059,A
2142,0.044,0.070,,0.373,0.262,-0.142,0.258,0.171,-0.591,-0.153,H
2143,-0.228,0.109,0.413,0.119,0.172,-0.474,0.371,1.103,0.625,-0.496,D
2144,0.155,0.596,0.036,-0.126,0.262,-0.557,0.031,-0.561,-0.684,-0.398,A
2145,0.044,0.572,0.004,-0.333,0.262,-0.433,0.484,0.054,0.594,-0.516,G
2146,-0.005,0.761,-0.095,-0.017,0.262,-0.308,-0.120,0.069,0.251,-0.113,F
2147,0.155,-0.166,-3.211,-1.321,-0.185,-0.391,0.258,-0.836,-0.653,-0.383,A
2148,0.315,-0.990,0.157,-2.450,0.172,4.177,,-2.184,-2.805,3.117,X
2149,0.476,-0.338,0.047,-0.001,0.977,-0.640,-1.781,0.139,1.405,0.643,I
2150,0.192,-0.252,0.332,0.296,0.262,-0.142,0.145,0.074,0.376,-0.089,A
2151,0.081,0.588,0.015,0.002,0.262,-0.557,0.371,0.798,0.189,-0.573,F
2152,-3.499,-0.166,0.812,-1.809,-4.922,-1.138,0.333,-1.938,-2.680,-1.067,A
2153,-0.043,-0.362,0.470,-0.311,0.262,-0.183,0.333,-0.276,0.469,-0.233,F
2154,-0.228,0.290,-0.006,0.396,0.262,0.398,0.107,1.157,0.189,0.425,A
2155,0.427,-0.056,-0.084,0.139,0.977,-1.388,-0.308,1.029,1.249,-1.005,I
2156,0.291,0.078,0.118,0.276,0.262,-0.308,0.598,0.202,-0.029,-0.464,F
2157,0.044,-0.079,0.061,0.565,0.262,0.772,0.069,0.315,-0.341,0.781,A
2158,-0.030,0.572,5.083,-0.110,-1.258,3.139,-2.271,0.820,-0.310,-1.944,G
2159,0.402,-0.268,0.300,-0.808,0.262,-1.429,0.145,0.061,0.033,-1.254,F
2160,0.241,-0.158,0.339,-1.204,0.262,-0.266,0.069,1.539,0.282,-0.161,A
2161,-0.030,0.305,-3.203,-0.131,0.172,-0.100,0.258,0.495,-0.341,-0.087,A
2162,-0.252,-0.150,0.314,-0.244,0.262,0.356,-0.157,0.604,-0.404,0.545,A
2163,-2.524,-0.346,-2.350,-0.776,0.172,-0.557,0.258,-0.576,-0.809,-0.522,F
2164,-0.005,0.360,0.282,-0.213,-1.168,-1.263,-4.989,-1.854,-3.054,-2.798,E
2165,-0.030,0.439,-0.045,0.766,0.172,0.190,0.371,0.276,0.469,0.101,A
2166,-0.228,-0.111,0.197,1.060,0.262,1.851,0.145,0.039,0.376,1.715,X
2167,-3.499,2.881,0.442,-0.295,-4.922,-1.388,0.296,0.354,-3.179,-1.288,A
2168,-0.104,-0.315,0.666,-0.064,0.172,0.190,-0.006,-0.801,-0.248,0.300,C
2169,0.143,0.070,0.399,0.568,-1.168,-0.100,,-0.822,-0.591,-0.083,A
2170,0.241,0.235,0.310,-1.711,0.262,-1.969,0.145,-2.014,-1.401,-1.740,H
2171,0.019,-0.173,0.307,-0.082,0.172,-0.848,0.258,0.608,0.064,-0.792,F
2172,0.155,-0.252,0.125,-0.577,-0.900,0.024,0.673,0.165,0.532,-0.211,A
2173,-0.228,0.046,0.214,0.747,0.262,-0.889,-0.006,1.601,0.875,-0.694,E
2174,0.118,0.627,0.076,0.832,0.262,1.104,0.258,0.362,-0.092,0.973,A
2175,0.562,-0.001,-3.211,-2.832,0.262,-0.391,0.409,0.800,0.345,-0.448,A
2176,0.143,-0.378,0.328,-0.040,0.262,-0.308,0.145,-0.750,-0.747,-0.240,F
2177,-0.055,0.227,0.321,-0.906,0.262,0.315,-0.082,-1.968,-1.339,0.502,H
2178,0.365,0.290,0.236,-0.324,0.172,-0.599,0.145,0.451,0.158,-0.504,A
2179,-3.499,0.164,0.716,-0.379,-4.922,-1.595,,1.399,-2.399,-1.581,E
2180,-0.129,-0.032,0.068,-0.152,-0.990,-0.682,-0.082,-0.323,-0.154,-0.460,F
2181,0.056,-0.016,0.346,-0.054,0.172,-0.972,-11.935,-2.023,-1.495,-6.719,A
2182,0.093,0.345,0.143,-0.027,0.262,0.107,0.333,-0.273,0.220,0.030,G
2183,-0.129,0.706,0.413,2.004,0.619,1.436,-1.516,0.008,0.251,2.642,Y
2184,0.081,0.651,-0.024,0.473,0.262,0.356,0.673,-0.771,-1.090,0.091,A
2185,0.032,-0.040,0.175,-0.107,0.262,0.107,,0.143,0.158,0.118,F
2186,0.056,-0.016,0.346,-0.054,0.172,-1.014,0.107,0.314,0.844,-0.862,A
2187,0.340,0.400,0.207,-0.725,0.262,-1.512,0.031,-0.520,-0.466,-1.275,A
2188,-0.203,-0.001,-3.211,-0.527,0.083,0.606,0.333,0.282,0.158,0.483,D
2189,0.106,0.203,-0.024,0.996,0.262,0.107,0.409,-0.341,-0.934,-0.014,A
2190,-0.252,0.282,0.147,-0.083,0.262,1.311,0.069,-1.047,-0.279,1.286,E
2191,0.908,1.467,0.371,-1.242,0.709,-1.388,-1.328,0.874,1.904,-0.427,I
2192,0.093,-0.385,0.353,0.547,0.262,0.107,-0.044,0.062,0.719,0.240,A
2193,-0.104,-0.315,0.666,-0.064,0.172,-1.637,0.220,-0.285,-0.310,-1.476,C
2194,0.217,0.125,-3.211,-0.887,0.262,-0.266,-0.120,-1.152,-0.747,-0.050,A
2195,-3.499,0.007,0.342,-0.318,-4.922,-0.972,0.220,0.751,0.937,-0.882,E
2196,0.291,-0.268,0.325,-0.396,-1.079,-0.889,0.371,-1.683,-1.246,-0.878,A
2197,0.056,0.188,-0.031,-0.958,0.262,0.149,0.447,-0.014,-0.217,0.008,F
2198,0.007,0.376,0.125,-1.299,-1.079,3.291,0.598,-1.213,-1.495,2.673,G
2199,11.820,0.203,0.396,-2.941,-0.900,-0.433,0.333,0.296,0.345,-0.459,H
2200,-3.499,0.196,0.221,-0.257,-4.922,0.439,-2.913,-0.577,-2.181,-3.757,A
2201,0.118,-0.009,0.623,-0.856,0.172,0.273,0.786,0.886,-0.310,-0.065,A
2202,0.476,-0.433,0.115,-0.871,0.977,-0.972,-1.139,0.783,1.374,-0.132,I
2203,-0.882,-1.948,0.218,2.046,0.172,1.145,0.711,0.991,1.124,0.790,X
2204,0.192,-0.032,0.250,-0.419,0.172,-1.180,,0.537,0.750,-1.051,F
2205,,-0.511,0.463,0.711,0.262,1.062,0.484,0.186,0.594,0.799,E
2206,0.328,0.180,0.157,-0.509,0.172,0.273,0.069,0.797,0.438,0.340,A
2207,0.081,0.651,-0.024,0.473,0.262,1.270,0.220,-0.792,-0.528,1.159,A
2208,0.772,0.031,0.076,0.372,0.977,-1.097,-1.026,0.442,1.062,-0.314,I
2209,0.377,0.164,0.140,-0.242,0.172,-0.474,-0.006,-0.725,-0.965,-0.306,A
2210,0.599,-2.427,0.012,0.540,0.977,-0.183,-1.554,0.066,1.686,0.959,I
2211,-0.092,0.345,0.182,0.723,0.262,-0.142,0.145,-0.199,0.594,-0.091,H
2212,-0.043,0.541,0.253,-0.836,0.262,0.273,-0.308,0.261,-0.404,0.561,A
2213,0.155,-0.330,0.300,-0.334,0.083,0.979,0.145,-0.655,-0.684,0.925,F
2214,0.291,0.156,0.136,1.401,0.083,0.523,-2.838,0.314,0.002,-1.315,A
2215,-0.154,9.656,0.054,0.566,-1.079,1.353,0.258,-0.312,-0.092,1.205,F
2216,0.167,0.148,0.278,-0.290,0.262,1.561,0.598,-1.794,-1.433,1.163,H
2217,0.180,0.258,0.189,-0.133,0.172,-0.931,,-0.499,0.407,-0.996,A
2218,0.143,0.486,0.026,0.545,0.172,-0.889,-0.082,-0.191,-0.840,-0.642,A
2219,-0.018,0.133,0.125,1.357,0.262,0.896,,0.976,-0.029,0.834,A
2220,0.180,0.258,0.189,-0.133,0.172,-0.308,-0.082,-0.067,0.189,-0.110,A
2221,0.402,-0.268,0.300,-0.808,0.262,0.190,0.900,-0.757,0.002,-0.195,F
2222,-0.252,0.070,0.246,0.524,0.262,0.024,-0.006,1.301,1.187,0.158,E
2223,0.155,-0.040,0.364,1.201,0.262,0.107,0.258,0.034,-0.747,0.059,A
2224,0.464,0.109,0.225,-1.411,0.262,-0.516,0.031,0.190,-0.653,-0.361,A
2225,-0.203,0.368,0.389,0.916,0.172,1.145,0.220,0.178,0.126,1.030,D
2226,4.463,-0.181,0.307,-2.964,0.262,-0.308,0.107,-0.187,-0.528,-0.221,F
2227,0.427,-0.056,-0.084,0.139,0.977,0.689,-0.912,-0.033,1.062,1.375,I
2228,0.118,-0.213,0.232,0.807,-1.079,0.356,0.409,0.142,-0.185,0.226,A
2229,-0.635,-0.448,0.300,1.408,0.172,2.350,-0.308,0.642,2.621,2.518,Y
2230,-0.117,0.282,0.335,-0.518,0.083,-0.225,0.220,0.795,0.844,-0.202,D
2231,-0.339,-0.268,0.442,0.616,0.440,1.021,-1.441,1.403,1.000,2.125,X
2232,-0.104,-0.079,0.012,0.221,0.262,-0.391,0.409,0.629,0.251,-0.451,A
2233,0.118,-0.213,0.232,0.807,-1.079,-0.308,0.371,-0.510,-0.778,-0.360,A
2234,-0.018,-0.330,0.488,-0.183,0.172,0.024,0.145,0.070,-0.279,0.069,F
2235,-3.499,-0.228,-3.211,-0.317,-4.922,2.723,-0.120,-1.207,-1.183,2.726,A
2236,0.291,0.109,-0.113,0.221,0.262,1.602,0.900,-0.776,-0.528,1.032,A
2237,-0.043,0.101,0.289,0.722,0.262,-0.100,-0.157,1.329,0.563,0.121,A
2238,-0.351,-0.244,0.595,1.593,0.798,-0.433,-1.403,1.545,2.434,0.649,X
2239,0.019,-0.016,0.325,-0.208,0.262,-0.433,0.484,-0.617,-0.029,-0.495,H
2240,0.266,0.211,0.115,0.938,0.262,2.100,0.598,-0.059,-0.154,1.631,A
2241,0.143,-0.001,0.154,0.956,0.262,-0.059,0.447,0.918,0.158,-0.165,F
2242,0.439,0.196,0.143,-0.809,0.262,-0.765,0.409,-0.072,-0.248,-0.782,F
2243,-0.018,0.337,0.236,-0.511,-0.811,-1.263,0.333,-0.188,-0.341,-1.187,G
2244,0.167,0.588,-0.003,-0.309,0.262,0.481,0.296,1.554,-0.029,0.391,F
2245,0.106,-0.150,0.438,0.935,0.262,0.813,0.484,0.745,-0.154,0.568,A
2246,0.180,-0.048,0.275,-0.605,0.262,-0.599,,0.020,0.033,-0.716,F
2247,-0.425,-0.221,0.307,0.497,0.262,0.647,0.069,0.155,0.688,0.692,E
2248,-0.030,-0.189,0.243,-0.409,0.262,-0.308,0.371,-0.684,-0.435,-0.344,F
2249,-0.228,0.290,-0.006,0.396,0.262,-0.183,0.258,-0.451,-0.778,-0.193,A
2250,-0.400,-0.166,0.392,0.486,0.262,-0.474,0.031,1.093,1.374,-0.327,E
2251,0.575,-0.134,0.161,1.252,0.977,0.024,-0.950,1.443,1.280,0.771,I
2252,-0.018,-0.440,0.268,1.395,0.262,0.356,-0.006,1.350,0.469,0.478,A
2253,-3.499,0.745,0.150,0.685,-4.922,-0.889,,0.979,-2.243,-0.960,A
2254,-0.166,0.007,-2.172,-0.166,0.262,-1.180,0.409,1.408,0.719,-1.152,E
2255,-0.030,0.093,0.236,1.206,0.262,1.104,0.069,0.260,0.251,1.098,A
2256,0.328,0.502,0.051,-1.018,0.262,0.232,0.296,-1.610,-0.653,0.165,G
2257,0.291,0.078,0.118,0.276,0.262,0.107,0.145,0.218,-0.341,0.151,F
2258,-0.104,0.023,0.378,1.280,0.172,1.353,0.258,1.035,1.530,1.248,X
2259,0.106,0.101,0.246,0.087,0.262,-1.222,-0.006,-2.496,-2.929,-0.996,A
2260,-0.092,0.258,0.445,1.644,0.083,-0.266,0.333,0.867,0.469,-0.303,W
2261,0.365,-0.150,0.172,0.043,0.262,-0.308,0.333,0.523,-0.217,-0.340,F
2262,0.044,0.188,0.303,-0.717,-1.794,0.315,0.145,1.567,0.563,0.332,A
2263,8.314,-0.087,0.527,0.660,-3.135,-0.433,0.484,0.428,0.345,-0.520,E
2264,-0.240,-0.299,0.694,0.956,0.619,-2.094,1.013,1.370,1.779,-1.615,Y
2265,0.291,-0.189,0.079,-0.086,0.977,-1.471,-1.063,-0.436,1.561,-0.688,I
2266,0.118,-0.009,0.623,-0.856,0.172,0.772,0.484,0.050,-0.279,0.533,A
2267,0.229,0.015,0.396,-1.400,0.083,-1.388,-2.989,-1.009,0.563,-2.474,H
2268,-0.376,-0.291,-3.211,-0.835,0.083,0.523,0.145,-0.291,-0.372,0.514,D
2269,0.032,-0.119,0.374,-0.067,0.262,0.024,0.145,0.653,0.625,0.062,A
2270,-0.326,-0.079,0.239,0.567,0.262,0.772,0.145,0.212,0.657,0.744,E
2271,0.130,-0.158,0.577,-0.671,0.172,-1.222,0.296,-0.629,-0.341,-1.132,C
2272,0.365,-0.048,-0.038,0.328,0.262,1.021,,-0.254,-0.217,0.708,A
2273,0.303,-0.354,0.307,-0.918,0.172,-0.682,0.258,-0.870,-0.310,-0.635,F
2274,0.056,-0.731,0.442,0.184,0.262,1.893,0.069,-0.268,0.251,1.845,A
2275,1.019,0.031,0.335,-2.318,-4.654,-1.637,1.806,-2.968,-2.368,-2.083,A
2276,0.266,0.164,0.118,0.320,0.262,-0.433,0.220,-0.801,-1.090,-0.389,A
2277,0.143,-0.001,0.154,0.956,0.262,-0.391,-0.271,1.080,0.158,-0.084,F
2278,-0.117,-0.079,0.381,1.541,0.172,0.273,,0.359,2.091,0.265,X
2279,0.661,-0.095,0.015,0.752,0.977,-0.059,-1.139,0.844,0.812,0.776,I
2280,0.019,0.078,0.349,-0.357,0.262,-1.388,-0.120,0.028,0.750,-1.094,H
2281,0.056,0.486,0.104,-0.053,0.262,1.187,0.107,-1.835,-1.526,1.195,G
2282,-0.228,0.290,-0.006,0.396,0.262,-0.183,0.409,0.756,0.220,-0.264,A
2283,-0.104,0.023,0.378,1.280,0.172,-0.059,0.031,0.586,0.875,0.076,X
2284,0.143,0.203,-0.006,-0.835,0.262,2.516,0.296,-2.398,-2.275,2.198,A
2285,-0.018,-2.427,0.278,0.507,0.172,0.730,0.673,0.008,0.126,0.392,F
2286,0.081,0.203,0.310,0.270,0.262,-0.433,0.598,1.124,0.469,-0.573,H
2287,-0.043,0.188,0.225,0.291,0.262,-0.142,0.220,0.659,0.438,-0.113,A
2288,0.044,0.196,0.261,-0.394,0.262,0.356,0.220,0.409,-0.185,0.335,G
2289,0.093,-1.681,0.357,0.181,0.172,-0.142,1.806,1.411,0.625,-0.890,A
2290,0.081,0.164,0.193,0.819,0.262,0.564,,0.941,0.064,0.337,A
2291,0.118,-0.291,0.307,0.256,0.172,-0.599,-0.157,0.318,-0.185,-0.343,A
2292,-0.265,0.156,0.403,1.484,0.172,0.772,0.409,1.963,2.247,0.589,X
2293,0.365,-0.189,0.502,0.223,-1.168,-3.838,-0.082,0.268,-2.275,-3.378,F
2294,0.427,-0.056,-0.084,0.139,0.977,-0.017,-0.912,0.077,1.155,0.685,I
2295,-0.129,-0.134,0.264,0.431,0.262,0.523,-0.006,-0.495,-0.061,0.605,F
2296,0.130,-0.024,0.246,0.121,0.083,2.640,-2.875,-1.400,-1.589,-1.932,A
2297,-3.499,0.455,0.129,-5.440,-0.006,-0.557,0.409,-0.387,-0.248,-0.598,A
2298,0.315,0.541,0.029,-0.395,0.262,-1.014,0.371,0.196,0.657,-0.984,G
2299,0.056,0.125,0.136,0.150,0.172,-1.138,0.749,0.440,0.376,-1.266,A
2300,0.081,-0.071,0.161,1.226,0.172,-0.308,-0.157,0.009,-0.653,-0.061,A
2301,0.007,0.078,0.342,-0.129,0.262,-0.266,-0.195,-0.437,-0.061,-0.010,F
2302,-3.499,-0.032,-2.481,-0.334,-4.922,0.689,0.598,-0.500,0.033,0.404,A
2303,0.254,-0.338,0.353,-1.154,0.172,-0.682,-0.195,-0.520,-0.497,-0.407,F
2304,0.488,-0.495,0.111,0.334,0.977,0.647,-1.139,0.500,1.343,1.512,I
2305,0.254,0.337,0.086,-0.980,0.262,-0.889,0.220,-1.549,-0.061,-0.784,G
2306,-0.092,0.298,0.079,0.196,0.262,-0.474,0.220,0.737,0.376,-0.422,F
2307,-3.499,0.062,0.339,0.963,-4.922,-0.557,0.220,1.013,-1.651,-0.500,A
2308,0.130,0.337,0.100,0.383,0.172,0.855,,-0.295,-0.747,0.572,A
2309,0.118,0.321,-3.211,0.643,0.351,0.938,-0.082,1.411,0.064,1.030,A
2310,0.032,-0.024,0.545,-2.188,0.262,-0.931,,-2.788,-1.869,-0.990,E
2311,0.032,-0.346,-0.010,1.030,0.083,-0.017,0.447,0.985,0.750,-0.136,A
2312,-0.067,0.462,0.104,0.463,0.262,-0.017,0.749,0.721,0.002,-0.280,F
2313,0.464,0.109,0.225,-1.411,0.262,-0.225,0.145,0.950,0.376,-0.157,A
2314,-0.598,-0.071,0.353,0.221,0.262,0.606,0.371,-0.698,0.750,0.463,E
2315,0.106,-0.150,0.438,0.935,0.262,0.149,0.107,0.947,0.033,0.191,A
2316,0.414,-0.166,0.054,-0.892,0.977,-1.097,-1.139,-0.401,1.280,-0.239,I
2317,-0.005,-0.283,0.214,-2.422,0.172,-0.142,0.484,-1.096,-0.029,-0.260,A
2318,-0.178,0.015,0.264,0.582,0.172,2.350,0.296,-0.767,-0.123,2.062,A
2319,-0.043,0.753,-0.109,1.041,-1.347,2.225,-0.044,-0.686,-0.996,2.227,F
2320,0.439,0.290,0.143,-0.282,0.262,-0.723,0.031,0.950,0.314,-0.555,A
2321,-0.005,0.486,0.118,0.447,0.262,-0.557,0.447,0.519,0.563,-0.620,G
2322,-0.252,0.093,0.239,-0.021,0.172,2.142,-3.026,-1.274,-0.715,-0.053,A
2323,0.155,-0.197,-3.211,-0.737,0.351,-0.031,0.900,0.162,0.293,-0.361,F
2324,-0.252,0.093,0.239,-0.021,0.172,2.516,0.258,-1.442,-0.591,2.241,A
2325,-0.117,0.282,0.335,-0.518,0.083,0.855,0.409,-0.051,0.220,0.646,D
2326,0.019,-0.173,0.307,-0.082,0.172,-0.474,,-0.250,0.002,-0.832,F
2327,0.365,-0.001,-0.052,1.293,0.977,0.647,-1.328,0.111,1.280,1.695,I
2328,0.192,-0.252,0.332,0.296,0.262,-0.931,,-0.768,-0.996,-0.822,A
2329,0.093,-0.087,-2.268,-0.165,0.262,0.647,0.371,0.222,0.189,0.495,A
2330,-0.055,-0.024,0.079,0.136,0.262,-0.682,0.145,0.759,0.220,-0.578,F
2331,-3.499,-0.440,-3.211,-0.365,-4.922,0.439,0.447,-0.275,-0.934,0.261,A
2332,0.352,0.321,0.129,-1.647,-0.900,-0.889,0.522,-0.255,0.095,-0.948,F
2333,-0.141,-0.024,0.563,-1.881,0.083,-1.097,-0.157,-0.249,0.033,-0.793,C
2334,-0.376,-0.291,-3.211,-0.835,0.083,-1.055,0.296,-0.221,-0.061,-0.985,D
2335,,0.353,0.289,1.638,0.262,1.228,0.447,0.696,0.844,0.990,E
2336,0.069,-0.181,-3.211,-0.294,-1.168,1.561,0.220,-0.455,-0.653,1.404,F
2337,0.106,0.015,0.378,-0.432,0.262,-1.014,0.220,-0.373,0.376,-0.918,H
2338,0.464,0.109,0.225,-1.411,0.262,1.021,0.107,0.522,0.064,0.982,A
2339,0.291,-0.189,0.079,-0.086,0.977,-1.471,-1.026,-1.035,-0.248,-0.698,I
2340,-0.018,-0.150,-2.976,-1.078,0.083,-0.142,2.410,-0.640,-0.061,-0.622,F
2341,0.118,0.235,0.051,0.220,0.262,-0.848,-0.120,-1.178,-1.308,-0.604,A
2342,-0.117,-0.016,0.289,0.484,0.172,-0.723,-0.044,0.533,0.002,-0.515,F
2343,0.007,-0.056,0.335,1.779,0.262,0.107,0.107,0.835,0.282,0.164,A
2344,-0.043,-0.189,0.332,-0.664,0.262,-0.806,0.145,-0.409,0.407,-0.701,H
2345,0.106,0.290,0.172,-0.220,0.262,-0.806,,0.002,-0.341,-0.877,A
2346,-0.055,0.580,0.033,-0.017,0.262,1.602,-0.195,-0.991,-0.061,1.740,A
2347,0.192,-0.032,0.250,-0.419,0.172,-0.266,-0.195,-1.059,-0.248,-0.008,F
2348,-0.240,-0.535,0.076,-0.617,0.172,3.056,0.824,-1.369,-0.715,2.346,E
2349,-2.215,-0.173,3.941,-1.569,-2.509,-3.242,-0.057,2.465,-2.701,-2.837,A
2350,0.081,0.015,0.065,0.346,0.172,0.772,0.711,0.642,0.095,0.409,A
2351,-3.499,13.896,-3.211,-0.378,-4.922,-1.844,-8.576,3.424,-3.802,-5.534,D
2352,0.241,-0.323,0.282,0.275,0.262,0.439,0.447,-0.366,-0.154,0.267,F
2353,0.377,0.109,0.317,-1.658,-0.900,-2.509,-5.895,-1.086,-3.148,-4.339,H
2354,0.130,-0.315,0.417,1.051,0.083,0.730,0.371,0.632,0.532,0.566,A
2355,0.241,-0.323,0.310,0.491,0.262,0.232,0.522,0.580,-0.029,0.058,A
2356,0.167,0.172,0.047,0.268,0.172,-0.474,0.031,0.605,-0.061,-0.336,F
2357,0.007,0.164,0.125,0.585,0.262,-0.474,-0.082,1.428,0.812,-0.270,A
2358,-0.043,0.007,0.264,-0.163,0.172,-0.931,0.145,0.412,1.124,-0.802,E
2359,0.513,-0.307,0.061,1.372,0.977,-1.138,-1.252,0.139,0.220,-0.221,I
2360,0.032,0.117,-0.177,-0.621,-1.168,-2.633,0.296,-0.182,0.532,-2.402,A
2361,0.032,0.141,0.399,-0.817,0.262,-0.308,0.145,0.445,0.688,-0.254,H
2362,0.352,0.211,0.307,-0.946,0.172,-0.059,0.333,0.560,-0.061,-0.121,A
2363,-0.697,-0.056,-3.211,0.629,0.262,1.768,0.107,0.615,0.033,1.672,W
2364,0.032,0.141,0.399,-0.817,0.262,-0.806,0.145,1.403,0.563,-0.694,H
